中央政府總預算案,,,,,,,,,
歲出機關別預算表,,,,,,,,,
經資門併計,,,,,中華民國106年度,,,單位：新臺幣千元,
,,9,,"6008115500
道路建設及養護","6,165,837 ","8,002,409 ","-1,836,572 ","本年度預算數之內容與上年度之比較如下：
1.市區道路建設發展及研究考核經費7,287
   千元，較上年度減列1,286千元。
2.生活圈道路交通系統建設計畫(市區道路)
   （104-107年）總經費30,000,000千元，
   分4年辦理，104至105年度已編列12,433,
   691千元，本年度續編第3年經費5,000,00
   0千元，較上年度減列1,546,036千元。
3.城鎮風貌型塑整體計畫－市區道路人本環
   境建設計畫，總經費6,596,000千元，分
   年辦理，102至105年度已編列5,346,908
   千元，本年度續編1,150,000千元，較上
   年度減列289,250千元。
4.歸墊航港建設基金墊付興建重陽大橋、永
   福橋及福和橋之銀行貸款本息8,550千元
   ，與上年度同。",
,,,,"7208110000
環境保護支出","12,011,079 ","12,692,562 ","-681,483 ",,
,,10,,"7208114000
下水道管理業務","12,011,079 ","12,692,562 ","-681,483 ","本年度預算數之內容與上年度之比較如下：
1.推動下水道工程作業經費2,779千元，較
   上年度減列水電費等927千元。
2.污水下水道第五期建設計畫（104-109年
   ）總經費92,712,000千元，分6年辦理，1
   04至105年度已編列24,133,135千元，本
   年度續編第3年經費12,008,300千元，較
   上年度減列680,556千元。",
,3,,,"0008210000
警政署及所屬","20,001,359 ","20,226,750 ","-225,391 ",,
,,,,"3808210000
民政支出","20,001,359 ","20,226,750 ","-225,391 ",,
,,1,,"3808210100
一般行政","15,150,825 ","14,972,537 ","178,288 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費15,089,437千元，較上年度增
   列缺額補實等人事費182,696千元。
2.基本行政工作維持費61,388千元，較上年
   度減列電話通訊、印刷、環境佈置及各項
   專業訓練講習等經費4,408千元。",
,,2,,"3808211000
警政業務","608,334 ","850,563 ","-242,229 ","本年度預算數之內容與上年度之比較如下：
1.強化警備應變措施、社會治安維護及國際
   警察合作經費93,797千元，較上年度減列
   第14任總統副總統及第9屆立法委員選舉
   治安維護專案工作、執行擴大臨檢等經費
   107,426千元，增列出國考察反恐作業所
   需旅費及辦理重大人為危安事件實警演練
   等經費1,036千元，計淨減106,390千元。
2.交通安全維護及交通秩序規劃經費7,772
   千元，較上年度減列辦理各項專業講習班
   及兵役替代役交通助理人員專業訓練等經
   費792千元。
3.端正警察風紀及強化各警察單位內部管理
   經費136,666千元，較上年度減列補助警
   察消防海巡移民空勤人員及協勤民力安全
   基金等經費100,775千元。
4.強化警用裝備、車輛等後勤業務經費100,
   780千元，較上年度減列員警射擊訓練用
   子彈、房屋建築修繕及公務車輛油料等經
   費32,362千元，增列辦理警光山莊或會館
   委外經營可行性評估經費954千元，計淨
   減31,408千元。
5.強化警政婦幼安全及推動社區治安業務經
   費57,733千元，較上年度減列推動社區治
   安計畫及委託研究等經費9,187千元。
6.警察業務管理經費10,342千元，較上年度
   減列電話系統數據傳輸費、警察法規整理
   及編纂等經費3,852千元。
7.加強警察教育訓練業務經費86,971千元，
   較上年度減列各項常訓設施維修及設備汰
   換、訓練教官鐘點費等12,418千元，增列
   反恐訓練中心維運管理等經費22,169千元
   ，計淨增9,751千元。
8.電子處理警政資料經費114,273千元，較
   上年度減列電腦主機及終端工作站設備維
   護等經費2,850千元，增列警政巨量資料
   分析與應用案所需數據通訊費、資訊安全
   檢測服務費等3,274千元，計淨增424千元
   。",
,,3,,"3808211200
警務管理","239,656 ","317,141 ","-77,485 ","本年度預算數之內容與上年度之比較如下：
1.警察通訊所辦理有線及無線電訊電路工作
   經費78,785千元，較上年度淨減89,281千
   元，包括：
  (1)基本行政工作維持與有線及無線電訊
     業務工作經費69,628千元，較上年度減
     列數據通訊、中容量微波通訊系統、汰
     換工程車1輛及通訊車1輛等經費16,869
     千元，增列汰換個人電腦及警政發展方
     案（第2期）－充實警用車輛計畫汰換
     工程車1輛、通訊車1輛、勤務車1輛等
     經費8,885千元，計淨減7,984千元。
  (2)警政發展方案（第2期）－提升警用通
     訊系統效能計畫總經費268,110千元，
     分4年辦理，104至105年度已編列151,8
     54千元，本年度續編第3年經費9,157千
     元，較上年度減列81,297千元。
2.警察機械修理廠辦理警用武器與車輛維修
   及零組件製造業務經費6,054千元，較上
   年度減列網際網路維護費及汰購伺服器等
   經費1,346千元，增列汰購有網管路由交
   換器及警用彈殼回收檢測器等經費762千
   元，計淨減584千元。
3.警察廣播電臺辦理治安交通宣導工作業務
   經費64,669千元，較上年度減列電費、竹
   子山發射站屋頂防水工程、汰換通訊車1
   輛、臺南分臺調幅發射機及主播音室高階
   廣播級混音器等經費11,875千元，增列汰
   換廣播級混音器、路況通報語音系統及臺
   東發射站發射機等經費11,726千元，計淨
   減149千元。
4.民防指揮管制所辦理防情管制業務及通信
   設施工作經費28,403千元，較上年度減列
   資安健診、汰換天線鐵塔及高階伺服器等
   經費4,866千元，增列弱點掃瞄暨滲透測
   試、中央遙控警報系統維護及北宜分所辦
   公廳舍屋頂防水工程等經費18,511千元，
   計淨增13,645千元。
5.鐵路警察局辦理鐵路治安維護工作經費40
   ,067千元，較上年度減列水電費、通訊費
   、汰換巡邏車1輛及巡邏機車4輛、局本部
   舊大樓防火避難設施改建工程及臺北分局
   中壢派出所耐震補強工程等經費10,431千
   元，增列高雄分局臺南分駐所耐震補強工
   程及警政發展方案（第2期）－充實警用
   車輛計畫汰換巡邏車2輛、吉普式巡邏車1
   輛、巡邏機車16輛等經費10,793千元，計
   淨增362千元。
6.高雄港務警察總隊辦理高雄港區治安維護
   工作經費7,337千元，較上年度減列員警
   服裝及文康活動等經費429千元。
7.臺中港務警察總隊辦理臺中港及麥寮工業
   專用港港區治安維護工作經費5,567千元
   ，較上年度減列文康活動費及伺服器主機
   等經費244千元。
8.基隆港務警察總隊辦理基隆港區治安維護
   工作經費4,934千元，較上年度減列員警
   服裝及文康活動等經費132千元。
9.花蓮港務警察總隊辦理花蓮港及和平工業
   專用港港區治安維護工作經費3,840千元
   ，較上年度減列員警服裝、文康活動、汰
   換電子自動交換機及伺服器等經費673千
   元。",
,,4,,"3808211300
保安警察業務","564,522 ","561,908 ","2,614 ","本年度預算數之內容與上年度之比較如下：
1.保安警察第一總隊辦理警力派遣、訓練、
   警戒及秩序維護業務等經費224,514千元
   ，較上年度減列土地租金、石牌營區忠勇
   樓防水工程、汰換勤務車1輛、大型警備
   車（40人座）12輛及大型警備車（21人座
   ）1輛等經費74,379千元，增列石牌營區
   行政大樓等耐震補強工程及警政發展方案
   （第2期）－充實警用車輛計畫汰換小型
   警備車2輛、大型警備車（40人座）14輛
   、大型警備車（21人座）1輛、鐵網拖車3
   輛等經費107,144千元，計淨增32,765千
   元。
2.保安警察第二總隊刑事警察大隊辦理查緝
   盜版、仿冒及保護智慧財產權業務等經費
   28,383千元，較上年度減列水電費、汰換
   機房網路交換器及偵防車3輛等經費4,895
   千元，增列未經銓敘退休人員優惠存款利
   息差額補貼及警政發展方案（第2期）－
   充實警用車輛計畫汰換偵防車4輛等經費8
   ,850千元，計淨增3,955千元。
3.保安警察第三總隊辦理貨櫃安全檢查業務
   經費59,129千元，較上年度減列消防管路
   設施整修工程及貨櫃安全檢查資訊系統等
   經費13,253千元，增列辦公大樓耐震補強
   工程、檢查儀碘化鈉感測子及警政發展方
   案（第2期）－充實警用車輛計畫汰換小
   型警備車2輛、巡邏車2輛、勤務車1輛等
   經費19,048千元，計淨增5,795千元。
4.保安警察第四總隊辦理警力派遣、訓練、
   警戒及秩序維護業務等經費42,677千元，
   較上年度減列水電費、汰換大型警備車4
   輛、小型警備車2輛、巡邏機車4輛及信義
   樓耐震補強工程等經費23,704千元，增列
   仁愛樓耐震補強工程及警政發展方案（第
   2期）－充實警用車輛計畫汰換大型警備
   車1輛、小型警備車2輛、勤務車2輛、巡
   邏機車7輛等經費21,087千元，計淨減2,6
   17千元。
5.保安警察第五總隊辦理警力派遣、訓練、
   警戒及秩序維護業務等經費51,369千元，
   較上年度減列水電費、仁武及岡山營區整
   修工程、汰換大型警備車2輛等經費22,39
   1千元，增列仁武營區一大二中房舍整修
   工程、岡山營區耐震補強工程、汰換堆疊
   式網路核心交換系統及警政發展方案（第
   2期）－充實警用車輛計畫汰換大型警備
   車2輛等經費22,205千元，計淨減186千元
   。
6.保安警察第六總隊辦理國家首長安全警衛
   及中央憲政機關駐衛業務等經費104,571
   千元，較上年度減列水電費、勤務旅費、
   辦公廳舍整修等經費33,940千元，增列電
   腦軟硬體設備系統滲透測試費及警政發展
   方案（第2期）－充實警用車輛計畫汰換
   小型警備車4輛、偵防車1輛、巡邏車1輛
   、巡邏機車19輛等經費9,038千元，計淨
   減24,902千元。
7.保安警察第七總隊辦理維護派駐機關安全
   執行專責任務等經費53,879千元，較上年
   度減列刑事辦案偵訊室整修工程及汰換勤
   務車3輛、偵防車4輛、吉普式偵防車8輛
   、巡邏車1輛、巡邏機車5輛等經費15,238
   千元，增列警政發展方案（第2期）－充
   實警用車輛計畫汰換勤務車1輛、偵防車1
   輛及巡邏機車17輛等經費3,042千元，計
   淨減12,196千元。",
,,5,,"3808211400
國道警察業務","269,759 ","273,660 ","-3,901 ","本年度預算數之內容與上年度之比較如下：
1.基本行政工作維持費25,491千元，較上年
   度減列房屋建築養護費及辦公器具養護費
   等1,239千元，增列未經銓敘退休人員優
   惠存款利息差額補貼及文康活動等經費1,
   297千元，計淨增58千元。
2.維持交通秩序及安全經費244,268千元，
   較上年度淨減3,959千元，包括：
  (1)交通秩序及安全工作經費167,775千元
     ，較上年度減列車輛油料及保險費等11
     ,937千元，增列違規通知單郵資及交通
     執法器材檢驗費等2,505千元，計淨減9
     ,432千元。
  (2)辦理警政發展方案（第2期）－充實警
     用車輛計畫汰換勤務車4輛、偵防車8輛
     及巡邏車23輛等經費42,060千元，較上
     年度減列6,060千元。
  (3)新增辦理第二、第四公路警察大隊辦
     公廳舍耐震補強工程、購置多功能數位
     固定桿及呼氣酒精分析儀等經費34,433
     千元。
  (4)上年度辦理勤務寢室耐震補強工程、
     汰換無線電手提臺、有線電話設備及骨
     幹網路交換器等預算業已編竣，所列22
     ,900千元如數減列。",
