,,,,,,,,
科　　　　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","本年度與
上年度比較",說　　　　　　　　明
,,,01,"　　　61060600401
　　　招商行政及管理","251,449","177,442","74,007","本年度預算數較上年度增列74,007千元，包括:
1.補助高雄市促進產業發展基金243,000千元，較上年度增列104,000千元。
2.國外及大陸地區旅費325千元，較上年度增列7千元。
3.上年度辦理高雄市策略性及重點產業招商引資暨創新計畫等經費預算業已編竣，所列30,000千元如數減列。
　"
,,07,,"　　61060600500
　　市場管理","130,184","160,323","-30,139",
,,,01,"　　　61060600501
　　　零售市場及攤販管理","130,184","160,323","-30,139","本年度預算數較上年度減列30,139千元，包括:
1.一般業務10,402千元，較上年度增列補助高雄市促進產業發展基金等經費7,046千元。
2.市場督導行政70,228千元，較上年度減列左二市場等土地租金及美濃公有市場退場補償金等經費34,385千元。
3.市場興整建工程49,554千元，較上年度減列各公有零售市場設施改善工程1,000千元。
4.上年度辦理促參業務，預算業已編竣，所列1,800千元如數減列。
　"
,,08,,"　　61060607900
　　第一預備金",283,283,-,
,,,01,"　　　61060607901
　　　第一預備金",283,283,-,"仿照上年度預算數編列。
　"
07,,,,"00070000000
高雄市政府工務局主管","6,960,812","7,255,128","-294,316",
,001,,,"　00070700000
　高雄市政府工務局","1,300,972","1,222,879","78,093",
,,01,,"　　60070700100
　　一般行政","218,508","220,327","-1,819",
,,,01,"　　　60070700101
　　　行政管理","215,119","216,253","-1,134","本年度預算數之內容與上年度之比較如下:
1.人員維持費212,077千元，較上年
   度核實減列人事費576千元。
2.基本行政工作維持費3,042千元，
   較上年度減列三節慰問金經費
   558千元。
　"
,,,02,"　　　60070700102
　　　業務管理","3,389","4,074",-685,"本年度預算數3,389千元，較上年度減列資訊業務經費685千元。
　"
,,02,,"　　60070700300
　　工程企劃行政管理","893,629","953,483","-59,854",
　,　,　,　,　,　,　,　,　
,,,01,"　　　60070700301
　　　工程企劃業務管理及
　　　策略規劃","893,629","953,483","-59,854","本年度預算數較上年度減列59,854千元，包括:
1.工程企劃業務管理經費38,634千
   元，較上年度增列高雄市道路挖
   掘管理中心統包工程及教育部體
   育署補助等經費35,000千元。
2.市區道路及重劃區既有管線建置
   計畫經費21,400千元，較上年度
   增列內政部營建署補助經費
   17,942千元。
3.配合市區纜線下地工程分攤經
   費35,700千元，較上年度增列纜
   線下地工程經費8,700千元。
4.弱電、寬頻管道共同管理經費
   19,304千元，較上年度增列寬頻
   管道CLSM隆起路面改善工程經
   費5,065千元。
5.工程材料委外試驗經費38,585千
   元，較上年度減列委辦費等經費
   7,271千元。
6.台鐵捷運化-高雄市鐵路地下化計
   畫(配合款)經費700,000千元，較
   上年度減列116,000千元。
7.上年度辦理歸還台電公司路面修
   復費及行政作業費預算業已編竣
   ，所列3,290千元如數減列。
　"
,,03,,"　　60070700400
　　建築管理","188,735","48,969","139,766",
,,,01,"　　　60070700401
　　　建照審查及施工公安
　　　使用管理","188,735","48,969","139,766","本年度預算數較上年度增列139,766千元，包括:
1.新增建築物公共安全管理經費
   13,594千元。
2.建照審查施工管理及建築物公安
   使用管理經費153,281千元，較上
   年度增列內政部補助及招牌更新
   補助等經費130,293千元。
3.建築管理諮詢經費1,650千元，較
   上年度增列辦理建築技術諮詢業
   務等經費150千元。
4.推動無障礙友善環境改造計畫經
   費15,210千元，較上年度減列騎
   樓整平工程施作等經費4,271千
   元。
　"
,,04,,"　　60070707900
　　第一預備金",100,100,-,
,,,01,"　　　60070707901
　　　第一預備金",100,100,-,"仍照上年度預算數編列。
　"
　,　,　,　,　,　,　,　,　
,002,,,"　00070710000
　高雄市政府工務局新建工
　程處","2,702,815","2,748,913","-46,098",
,,01,,"　　60070710100
　　一般行政","157,603","159,793","-2,190",
,,,01,"　　　60070710101
　　　行政管理","156,336","158,505","-2,169","本年度預算數之內容與上年度之比較如下：
1.人員維持費155,859千元，較上年度核實減列人事費1,183千元。
2.基本行政維持費477千元，較上年度減列車輛購置及慰問金等經費986千元。
　"
,,,02,"　　　60070710102
　　　業務管理","1,267","1,288",-21,"本年度預算數1,267千元較上年度減列總務管理其他業務租金等經費21千元。
　"
,,02,,"　　60070710500
　　道路橋梁廣場地景工程","2,545,212","2,589,120","-43,908",
,,,01,"　　　60070710501
　　　新建道路橋梁廣場地
　　　景","2,545,212","2,589,120","-43,908","本年度預算數較上年度減列43,908千元，包括：
一、工程業務17,389千元，較上年度減列土地租金等經費15,156千元。
二、設備及投資2,527,823千元，較上年度減列28,752千元，本年度編列項目如下：
1.道路工程2,325,059千元。
2.橋梁工程83,821千元。
3.廣場及地景工程6,337千元。
4.市政建設工程及配合款112,606千元。
　"
,003,,,"　00070720000
　高雄市政府工務局養護工
　程處","2,860,716","3,189,317","-328,601",
,,01,,"　　60070720100
　　一般行政","475,094","466,724","8,370",
,,,01,"　　　60070720101
　　　行政管理","408,769","409,923","-1,154","本年度預算數之內容與上年度之比較如下：
1. 人員維持費406,834千元，較上年度核實減列人事費1,094千元。
2. 基本行政工作維持費1,935千元，較上年度減列退休人員及遺族三節慰問金60千元。
　"
,,,02,"　　　60070720102
　　　業務管理","66,325","56,801","9,524","本年度預算數66,325千元，較上年度增列土地租金及運輸設備等經費9,524千元。
　"
,,02,,"　　60070720600
　　維護保養廠管理","6,007","6,007",-,
,,,01,"　　　60070720601
　　　機械車輛保養廠管理",313,313,-,"本年度預算數313千元，係辦理工程機械車輛機具之養護經費，與上年度同。
　"
,,,02,"　　　60070720602
　　　拌合場管理","5,694","5,694",-,"本年度預算數5,694千元，係辦理熱拌瀝青拌合廠之操作、維護及營運經費，與上年度同。
　"
,,03,,"　　60070720700
　　公共設施養護","740,166","721,485","18,681",
,,,01,"　　　60070720701
　　　道路橋梁養護及災害
　　　搶修","2,550","2,550",-,"本年度預算數2,550千元，係辦理本市道路橋梁、涵洞、駁坎之維護經費，與上年度同。
　"
,,,02,"　　　60070720702
　　　路燈裝護","529,999","509,726","20,273","本年度預算數較上年度增列20,273千元，包括：
1. 全市路(園)燈等水電費469,801千元，較上年度增列20,912千元。
2. 上年度辦理補助各大樓燈景夜間照明之電費預算業已編竣，所列639千元如數減列。
　"
,,,03,"　　　60070720703
　　　公園綠地道路公共設
　　　施維護","207,617","209,209","-1,592","本年度預算數較上年度減列1,592千元，包括：
1. 新增公園綠地登革熱疫情防治經費2,110千元。
2. 內政部營建署補助104年至106年高雄新市鎮綜合示範社區既埋垃圾清除及整地工程公共設施維護管理計畫5,244千元，較上年度增列785千元。
3. 台電公司大林發電廠認養補辦預算辦理105年度中央公園清潔維護2,620千元，較上年度增列130千元。
4. 內政部105年度國家重要濕地保育行動計畫補助補辦預算2,870千元，較上年度減列370千元。
5. 上年度辦理內政部營建署補助補辦預算高雄新市鎮第1期發展區綜合示範區植栽等行道樹管理維護計畫預算業已編竣，所列4,247千元如數減列。
　"
,,04,,"　　60070720800
　　公共建設","1,639,449","1,995,101","-355,652",
,,,01,"　　　60070720801
　　　公共設施改善工程","1,639,449","1,995,101","-355,652","本年度編列公共設施改善工程經費1,639,449千元。
　"
,004,,,"　00070730000
　高雄市政府工務局違章建
　築處理大隊","96,309","94,019","2,290",
,,01,,"　　72070730100
　　一般行政","89,422","86,601","2,821",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　72070730101
　　　行政管理","89,422","86,601","2,821","本年度預算數之內容與上年度之比較如下：
1.人員維持費83,344千元與上年度
   同。
2.基本行政工作維持費6,078千元，
   較上年度增列購置小型客貨車及
   重建資訊管理系統等經費2,821
   千元。
　"
,,02,,"　　72070730200
　　違章拆除業務","6,887","7,418",-531,
,,,01,"　　　72070730201
　　　違章拆除","6,887","7,418",-531,"本年度預算數6,887千元，較上年度減列拆除業務經費531千元。
　"
08,,,,"00080000000
高雄市政府社會局主管","15,668,441","14,449,648","1,218,793",
,001,,,"　00080800000
　高雄市政府社會局","15,248,684","14,052,485","1,196,199",
,,01,,"　　66080800200
　　社會保險","2,791,463","2,550,035","241,428",
,,,01,"　　　66080800201
　　　社會保險","2,791,463","2,550,035","241,428","本年度預算數較上年度增列241,428千元，包括：
1.全民健康保險補助2,052,787千元，較上年度增列全民健康保險費補助款還款計畫等經費176,050千元。
2.國民年金保險補助518,676千元，較上年度增列65,378千元。
　"
,,02,,"　　67080800200
　　社會救助","1,912,751","1,960,249","-47,498",
,,,01,"　　　67080800201
　　　老弱及特殊市民收容
　　　給養計畫","83,938","83,918",20,"本年度預算數83,938千元，較上年度增列出差旅費20千元。
　"
,,,02,"　　　67080800202
　　　低收入戶暨清寒市民
　　　救助計畫","1,828,813","1,876,331","-47,518","本年度預算數較上年度減列47,518千元，包括：
1.一般業務1,175千元，較上年度增列印製資料及雜支等經費53千元。
2.低收入戶暨清寒市民醫療及乘車船補助12,848千元，較上年度增列低收及中低收入醫療及住院看護補助等經費1,285千元。
3.急難及災害救助22,418千元，較上年度增列天然災害救助金等經費670千元。
4.低收入戶生活扶助1,787,293千元，較上年度減列低收入戶家庭生活及就學生活等經費39,769千元。
5.中低收入業務5,079千元，較上年度減列幸福萌芽青少年發展帳戶等經費9,757千元。
　"
,,03,,"　　68080800100
　　一般行政","248,384","245,075","3,309",
,,,01,"　　　68080800101
　　　行政管理","247,294","243,985","3,309","本年度預算數之內容與上年度之比較如下：
1.人員維持費230,383千元，較上年度核實增列人事費4,253千元。
2.基本行政工作維持費16,911千元，較上年度減列公務車租金、業務助理、資訊軟硬體設備及退休人員三節慰問金等經費944千元。
　"
,,,02,"　　　68080800102
　　　業務管理","1,090","1,090",-,"本年度預算數1,090千元，係辦理本局之會計、人事、政風等相關業務經費，與上年度同。
　"
,,04,,"　　68080800200
　　各項慶典",669,669,-,
,,,01,"　　　68080800201
　　　各項慶典活動",669,669,-,"本年度預算數669千元，係辦理各項慶典及各種紀念日活動經費，與上年度同。
　"
